bondsba01	bondsba01h	0	36	1	2013			1	36
bagweje01	bagweje01h	0	60	3	2011			1	42|56|60
walkela01	walkela01h	0	23	3	2011			1	20|23|22
palmera01	palmera01h	0	13	3	2011			1	11|13|9
trammal01	trammal01h	0	37	12	2002			1	16|14|14|17|18|13|18|17|22|24|37|34
raineti01	raineti01h	0	52	6	2008			1	24|23|30|38|49|52
martied01	martied01h	0	36	4	2010			1	36|33|36|36
biggicr01	biggicr01h	0	68	1	2013			1	68
mcgwima01	mcgwima01h	0	24	7	2007			1	23|24|22|24|20|20|17
piazzmi01	piazzmi01h	0	58	1	2013			1	58
sosasa01	sosasa01h	0	12	1	2013			1	12
mcgrifr01	mcgrifr01h	0	24	4	2010			1	22|18|24|21
murphda05	murphda05h	0	23	15	1999			1	19|23|18|15|12|8|10|11|9|14|12|12|13|14|19
mattido01	mattido01h	0	28	13	2001			1	28|20|14|13|11|12|10|16|12|16|14|18|13
ruthba01	ruthba01h	1	95	1	1936	1936	BBWAA	0	95
mayswi01	mayswi01h	1	95	1	1979	1979	BBWAA	0	95
cobbty01	cobbty01h	1	98	1	1936	1936	BBWAA	0	98
aaronha01	aaronha01h	1	98	1	1982	1982	BBWAA	0	98
speaktr01	speaktr01h	1	82	2	1936	1937	BBWAA	0	59|82
wagneho01	wagneho01h	1	95	1	1936	1936	BBWAA	0	95
musiast01	musiast01h	1	93	1	1969	1969	BBWAA	0	93
hornsro01	hornsro01h	1	78	5	1936	1942	BBWAA	0	46|26|18|64|78
collied01	collied01h	1	78	4	1936	1939	BBWAA	0	27|57|67|78
willite01	willite01h	1	93	1	1966	1966	BBWAA	0	93
gehrilo01	gehrilo01h	1	23	2	1936	1939	Special Election	0	23
henderi01	henderi01h	1	95	1	2009	2009	BBWAA	0	95
mantlmi01	mantlmi01h	1	88	1	1974	1974	BBWAA	0	88
ottme01	ottme01h	1	87	3	1949	1951	BBWAA	0	68|68|87
lajoina01	lajoina01h	1	84	2	1936	1937	BBWAA	0	65|84
robinfr02	robinfr02h	1	89	1	1982	1982	BBWAA	0	89
schmimi01	schmimi01h	1	97	1	1995	1995	BBWAA	0	97
morgajo02	morgajo02h	1	82	1	1990	1990	BBWAA	0	82
foxxji01	foxxji01h	1	79	7	1936	1951	BBWAA	0	9|13|6|41|48|61|79
matheed01	matheed01h	1	79	5	1974	1978	BBWAA	0	32|41|49|62|79
yastrca01	yastrca01h	1	95	1	1989	1989	BBWAA	0	95
ripkeca01	ripkeca01h	1	99	1	2007	2007	BBWAA	0	99
clemero01	clemero01h	1	\N	1	1973	1973	Special Election	0	\N
ansonca01	ansonca01h	1	50	2	1936	1939	Old Timers	0	50
kalinal01	kalinal01h	1	88	1	1980	1980	BBWAA	0	88
boggswa01	boggswa01h	1	92	1	2005	2005	BBWAA	0	92
brettge01	brettge01h	1	98	1	1999	1999	BBWAA	0	98
davisge01	davisge01h	1	\N	1	1998	1998	Veterans	0	\N
connoro01	connoro01h	1	\N	1	1976	1976	Veterans	0	\N
carewro01	carewro01h	1	91	1	1991	1991	BBWAA	0	91
gehrich01	gehrich01h	1	85	6	1936	1949	Run Off	0	0|4|21|65|43|85
broutda01	broutda01h	1	3	2	1936	1945	Old Timers	0	3
rosepe01	rosepe01h	0	10	3	1992			0	10|3|4
robinbr01	robinbr01h	1	92	1	1983	1983	BBWAA	0	92
dimagjo01	dimagjo01h	1	89	4	1945	1955	BBWAA	0	0|44|69|89
yountro01	yountro01h	1	77	1	1999	1999	BBWAA	0	77
smithoz01	smithoz01h	1	92	1	2002	2002	BBWAA	0	92
molitpa01	molitpa01h	1	85	1	2004	2004	BBWAA	0	85
dahlebi01	dahlebi01h	0	1	2	1936			0	1|0
crawfsa01	crawfsa01h	1	4	8	1936	1957	Veterans	0	0|2|4|2|1|2|4
benchjo01	benchjo01h	1	96	1	1989	1989	BBWAA	0	96
whitalo01	whitalo01h	0	3	1	2001			0	3
applilu01	applilu01h	1	94	7	1953	1964	Run Off	0	1|1|7|29|27|30|94
jacksre01	jacksre01h	1	94	1	1993	1993	BBWAA	0	94
vaughar01	vaughar01h	1	29	12	1953	1985	Veterans	0	0|1|2|5|2|4|4|8|12|16|29
wanerpa01	wanerpa01h	1	83	6	1946	1952	BBWAA	0	2|42|48|57|72|83
heilmha01	heilmha01h	1	87	12	1937	1952	BBWAA	0	5|5|3|2|2|11|40|33|39|52|68|87
mizejo01	mizejo01h	1	44	12	1960	1981	Veterans	0	17|9|27|27|30|36|34|42|44|40|41
grichbo01	grichbo01h	0	3	1	1992			0	3
santoro01	santoro01h	1	43	16	1980	2012	Veterans	0	4|13|15|19|25|17|22|26|32|37|33|30|37|39|43
friscfr01	friscfr01h	1	84	6	1936	1947	BBWAA	0	6|9|36|41|51|84
wallabo01	wallabo01h	1	3	7	1936	1953	Veterans	0	1|0|3|2|1|1
larkiba01	larkiba01h	1	86	3	2010	2012	BBWAA	0	52|62|86
cartega01	cartega01h	1	78	6	1998	2003	BBWAA	0	42|34|50|65|73|78
delahed01	delahed01h	0	53	6	1936			0	27|35|50|53|45|45
gwynnto01	gwynnto01h	1	98	1	2007	2007	BBWAA	0	98
simmoal01	simmoal01h	1	75	9	1936	1953	BBWAA	0	2|0|4|50|58|54|51|60|75
murraed02	murraed02h	1	85	1	2003	2003	BBWAA	0	85
fiskca01	fiskca01h	1	80	2	1999	2000	BBWAA	0	66|80
loftoke01	loftoke01h	0	3	1	2013			0	3
nettlgr01	nettlgr01h	0	8	4	1994			0	8|6|8|5
clarkfr01	clarkfr01h	0	25	6	1936			0	12|11|24|22|25|21
sandbry01	sandbry01h	1	76	3	2003	2005	BBWAA	0	49|61|76
bankser01	bankser01h	1	84	1	1977	1977	BBWAA	0	84
evansdw01	evansdw01h	0	10	3	1997			0	6|10|4
alomaro01	alomaro01h	1	90	2	2010	2011	BBWAA	0	74|90
snidedu01	snidedu01h	1	86	11	1970	1980	BBWAA	0	17|25|21|27|30|36|41|55|67|71|86
cronijo01	cronijo01h	1	79	10	1947	1956	BBWAA	0	4|21|22|20|19|21|26|34|54|79
reesepe01	reesepe01h	1	48	15	1964	1984	Veterans	0	36|31|30|29|26|32|35|33|33|39|43|48|43|45
gosligo01	gosligo01h	1	13	10	1948	1968	Veterans	0	1|3|1|0|3|13|10|11|9
bellbu01	bellbu01h	0	2	1	1995			0	2
randowi01	randowi01h	0	1	1	1998			0	1
smithre06	smithre06h	0	1	1	1988			0	1
dawsoan01	dawsoan01h	1	78	9	2002	2010	BBWAA	0	45|50|50|52|61|57|66|67|78
mccovwi01	mccovwi01h	1	81	1	1986	1986	BBWAA	0	81
winfida01	winfida01h	1	84	1	2001	2001	BBWAA	0	84
willibi01	willibi01h	1	86	6	1982	1987	BBWAA	0	23|41|50|64|74|86
ashburi01	ashburi01h	1	42	16	1968	1995	Veterans	0	2|3|4|3|3|7|15|21|22|36|42|30|35|35|30
hamilbi01	hamilbi01h	1	3	3	1936	1961	Veterans	0	3|0
boudrlo01	boudrlo01h	1	77	10	1956	1970	BBWAA	0	1|24|13|8|34|38|49|52|64|77
burkeje01	burkeje01h	0	2	6	1936			0	1|0|1|2|1|1
bakerfr01	bakerfr01h	1	30	12	1936	1955	Veterans	0	0|6|12|11|17|11|19|30|3|2|4
boyerke01	boyerke01h	0	26	15	1975			0	2|4|4|5|5|17|22|23|26|14|18|13|17|16|12
jacksjo01	jacksjo01h	0	1	2	1936			0	1|1
glassja01	glassja01h	0	3	1	1936			0	3
becklja01	becklja01h	1	1	3	1936	1971	Veterans	0	1|0
robinja02	robinja02h	1	78	1	1962	1962	BBWAA	0	78
bandosa01	bandosa01h	0	1	1	1987			0	1
killeha01	killeha01h	1	83	4	1981	1984	BBWAA	0	60|59|72|83
wheatza01	wheatza01h	1	23	17	1937	1959	Veterans	0	2|3|1|1|1|3|23|12|10|10|8|13|12|13|20|13
hernake01	hernake01h	0	11	9	1996			0	5|10|11|7|10|8|6|6|4
berrayo01	berrayo01h	1	86	2	1971	1972	BBWAA	0	67|86
mageesh01	mageesh01h	0	1	8	1937			0	1|1|0|0|0|0|1|1
allendi01	allendi01h	0	19	14	1983			0	4|7|10|13|12|8|13|13|16|17|14|16|19|17
evansda01	evansda01h	0	2	1	1995			0	2
olerujo01	olerujo01h	0	1	1	2011			0	1
bondsbo01	bondsbo01h	0	11	11	1987			0	6|6|6|7|9|9|11|8|8|5|4
torrejo01	torrejo01h	0	22	15	1983			0	5|11|11|14|11|14|9|12|9|14|15|12|11|11|22
greenha01	greenha01h	1	85	9	1945	1956	BBWAA	0	1|44|38|30|32|30|38|63|85
stargwi01	stargwi01h	1	82	1	1988	1988	BBWAA	0	82
johnsbo01	johnsbo01h	0	1	2	1948			0	1|1
gordojo01	gordojo01h	1	29	13	1945	2009	Veterans	0	0|0|2|4|4|3|15|10|23|27|29|26
clarkwi02	clarkwi02h	0	4	1	2006			0	4
venturo01	venturo01h	0	1	1	2010			0	1
dickebi01	dickebi01h	1	80	9	1945	1954	BBWAA	0	7|20|32|42|46|52|59|68|80
aparilu01	aparilu01h	1	85	6	1979	1984	BBWAA	0	28|32|12|42|67|85
wynnji01	wynnji01h	0	0	1	1983			0	0
medwijo01	medwijo01h	1	85	9	1948	1968	BBWAA	0	1|16|19|14|21|65|62|81|85
lemonch01	lemonch01h	0	0	1	1996			0	0
slaugen01	slaugen01h	1	69	15	1966	1985	Veterans	0	33|42|46|38|44|46|38|38|40|49|51|58|69|69
hermabi01	hermabi01h	1	20	8	1948	1975	Veterans	0	1|1|3|3|13|9|20
sislege01	sislege01h	1	86	4	1936	1939	BBWAA	0	34|53|68|86
cruzjo01	cruzjo01h	0	0	1	1994			0	0
terrybi01	terrybi01h	1	77	14	1936	1954	BBWAA	0	4|3|6|15|13|15|29|43|53|63|65|66|72|77
careyma01	careyma01h	1	51	15	1937	1961	Veterans	0	3|2|3|0|7|8|8|12|15|21|22|47|34|51
pinsova01	pinsova01h	0	16	15	1981			0	4|1|3|5|10|12|16|7|8|7|8|9|10|7|11
keelewi01	keelewi01h	1	76	4	1936	1939	BBWAA	0	18|57|68|76
perezto01	perezto01h	1	77	9	1992	2000	BBWAA	0	50|55|58|56|66|66|68|61|77
seweljo01	seweljo01h	1	9	8	1937	1977	Veterans	0	0|1|0|0|2|0|9
ceyro01	ceyro01h	0	2	1	1993			0	2
hartnga01	hartnga01h	1	78	12	1936	1955	BBWAA	0	0|1|1|1|27|23|32|25|33|39|60|78
colliji01	colliji01h	0	49	6	1936			0	26|33|30|26|29|49
tinkejo01	tinkejo01h	0	27	6	1937			0	7|6|4|15|20|27
flickel01	flickel01h	1	0	2	1938	1963	Veterans	0	0
hoopeha01	hoopeha01h	1	3	7	1937	1971	Veterans	0	3|2|2|2|1|1
campabe01	campabe01h	0	3	1	1989			0	3
clarkja01	clarkja01h	0	1	1	1998			0	1
ricesa01	ricesa01h	1	53	14	1938	1963	Veterans	0	0|1|2|1|0|0|1|4|11|23|34|53|51
cedence01	cedence01h	0	0	1	1992			0	0
hackst01	hackst01h	0	5	7	1948			0	2|3|5|1|1|2|2
mcphebi01	mcphebi01h	1	\N	1	2000	2000	Veterans	0	\N
cochrmi01	cochrmi01h	1	80	6	1936	1947	BBWAA	0	35|10|38|51|40|80
cashno01	cashno01h	0	2	1	1980			0	2
downibr01	downibr01h	0	0	1	1998			0	0
orourji01	orourji01h	1	\N	1	1945	1945	Old Timers	0	\N
harrato01	harrato01h	0	0	1	1992			0	0
doerrbo01	doerrbo01h	1	25	13	1953	1986	Veterans	0	1|3|9|6|6|12|10|12|17|18|25|22
puckeki01	puckeki01h	1	82	1	2001	2001	BBWAA	0	82
phillto02	phillto02h	0	0	1	2005			0	0
kellejo01	kellejo01h	1	0	3	1939	1971	Veterans	0	0|0
elliobo01	elliobo01h	0	2	3	1960			0	1|1|2
cepedor01	cepedor01h	1	73	16	1980	1999	Veterans	0	12|19|10|16|31|29|36|43|47|39|48|43|57|60|73
minosmi01	minosmi01h	0	21	15	1969			0	2|21|20|21|13|11|9|16|16|10|14|13|18|16|15
simmote01	simmote01h	0	4	1	1994			0	4
lazzeto01	lazzeto01h	1	33	15	1945	1991	Veterans	0	0|1|17|13|13|12|12|11|12|26|33|30|22|5
lynnfr01	lynnfr01h	0	6	2	1996			0	6|5
burksel01	burksel01h	0	0	1	2010			0	0
sheckji01	sheckji01h	0	0	3	1938			0	0|0|0
dobyla01	dobyla01h	1	3	3	1966	1998	Veterans	0	2|3
willibe02	willibe02h	0	10	2	2012			0	10|3
butlebr01	butlebr01h	0	0	1	2003			0	0
kinerra01	kinerra01h	1	75	13	1960	1975	BBWAA	0	1|3|15|25|42|42|40|56|59|59|62|59|75
foxne01	foxne01h	1	75	16	1971	1997	Veterans	0	11|16|19|22|21|45|40|39|40|42|42|31|46|61|75
fregoji01	fregoji01h	0	1	1	1984			0	1
bancrda01	bancrda01h	1	16	16	1937	1971	Veterans	0	1|1|0|0|3|3|5|4|5|4|4|8|8|16|11
grohhe01	grohhe01h	0	2	8	1937			0	0|1|0|1|1|0|2|0
averiea01	averiea01h	1	5	8	1949	1975	Veterans	0	1|1|1|2|5|4|2
veachbo01	veachbo01h	0	0	1	1937			0	0
ewingbu01	ewingbu01h	0	50	2	1936			0	50|1
eversjo01	eversjo01h	0	64	7	1936			0	3|22|35|39|39|54|64
riceji01	riceji01h	1	76	15	1995	2009	BBWAA	0	30|35|38|43|29|52|58|55|52|55|59|65|63|72|76
crossla01	crossla01h	0	0	2	1939			0	0|0
whitede03	whitede03h	0	0	1	2007			0	0
fletcar01	fletcar01h	0	2	8	1937			0	1|1|0|2|2|1|1|2
judgejo01	judgejo01h	0	6	7	1937			0	0|1|1|1|1|3|6
myerbu01	myerbu01h	0	1	1	1949			0	1
leachto01	leachto01h	0	0	2	1937			0	0|0
tenacge01	tenacge01h	0	0	1	1989			0	0
cuyleki01	cuyleki01h	1	34	13	1948	1968	Veterans	0	2|3|7|4|4|7|8|14|28|34|27|19
whitero01	whitero01h	0	0	1	1985			0	0
willima04	willima04h	0	1	1	2009			0	1
gracema01	gracema01h	0	4	1	2009			0	4
wilsowi02	wilsowi02h	0	2	1	2000			0	2
munsoth01	munsoth01h	0	15	15	1981			0	15|6|5|7|8|8|7|7|7|7|6|7|9|7|7
lombaer01	lombaer01h	1	16	10	1950	1986	Veterans	0	2|1|4|2|2|3|16|11|15
staubru01	staubru01h	0	8	7	1991			0	6|6|8|8|5|5|4
manushe01	manushe01h	1	9	7	1948	1964	Veterans	0	1|1|7|8|7|9
mcgrajo01	mcgrajo01h	0	22	1	1936			0	22
chancfr01	chancfr01h	0	72	7	1936			0	2|24|51|58|58|72|57
whitede01	whitede01h	1	1	2	1936	2013	Veterans	0	1
roushed01	roushed01h	1	54	20	1936	1962	Veterans	0	1|5|3|3|0|2|5|16|14|9|10|9|10|12|21|39|47|42|54
brocklo01	brocklo01h	1	80	1	1985	1985	BBWAA	0	80
stoveha01	stoveha01h	0	8	1	1936			0	8
doylela01	doylela01h	0	2	3	1937			0	1|2|0
fernato01	fernato01h	0	1	1	2007			0	1
peckiro01	peckiro01h	0	1	9	1937			0	1|1|0|1|1|1|1|0|0
schanwa01	schanwa01h	0	4	5	1948			0	1|1|1|3|4
hodgegi01	hodgegi01h	0	63	15	1969			0	24|48|50|41|57|54|52|60|58|60|56|60|60|49|63
freehbi01	freehbi01h	0	0	1	1982			0	0
knoblch01	knoblch01h	0	0	1	2008			0	0
colavro01	colavro01h	0	1	2	1974			0	1|0
thompsa01	thompsa01h	1	\N	1	1974	1974	Veterans	0	\N
kellyki01	kellyki01h	1	19	2	1936	1945	Old Timers	0	19
finlest01	finlest01h	0	1	1	2013			0	1
jackstr01	jackstr01h	1	7	13	1948	1982	Veterans	0	4|4|4|2|0|1|0|2|7|4|4|1
fostege01	fostege01h	0	7	4	1992			0	6|7|4|4
tennefr02	tennefr02h	0	3	5	1936			0	1|2|3|1|0
kleinch01	kleinch01h	1	28	13	1948	1980	Veterans	0	2|6|8|7|8|4|10|23|14|14|11|28
oliveal01	oliveal01h	0	4	1	1991			0	4
jonesfi01	jonesfi01h	0	2	5	1938			0	0|0|1|2|1
darkal01	darkal01h	0	19	15	1966			0	6|13|13|14|18|15|14|14|15|13|16|17|16|19|11
olivato01	olivato01h	0	47	15	1982			0	15|20|31|29|36|39|47|30|32|36|41|37|35|32|36
duffyhu01	duffyhu01h	0	33	6	1936			0	4|3|9|12|33|26
kellech01	kellech01h	0	6	11	1953			0	0|1|3|3|1|6|4|4|2|4|6
camildo01	camildo01h	0	2	4	1948			0	1|1|2|1
maranra01	maranra01h	1	83	14	1937	1954	BBWAA	0	12|28|30|28|21|25|57|31|38|39|49|57|62|83
walkedi02	walkedi02h	0	3	4	1962			0	1|3|2|3
otisam01	otisam01h	0	0	1	1990			0	0
willike01	willike01h	0	1	2	1956			0	1|0
combsea01	combsea01h	1	16	15	1937	1970	Veterans	0	2|3|1|0|5|4|2|0|1|0|7|13|16|4
cansejo01	cansejo01h	0	1	1	2007			0	1
jennihu01	jennihu01h	0	37	6	1936			0	14|2|9|12|27|37
dykstle01	dykstle01h	0	0	1	2002			0	0
lopesda01	lopesda01h	0	0	1	1993			0	0
aloufe01	aloufe01h	0	1	1	1980			0	1
schoere01	schoere01h	1	43	16	1969	1989	Veterans	0	19|32|34|26|25|30|26|33|27|34|37|43|41|33|39
bergewa01	bergewa01h	0	1	2	1956			0	1|1
gaettga01	gaettga01h	0	1	1	2006			0	1
strawda01	strawda01h	0	1	1	2005			0	1
floodcu01	floodcu01h	0	15	15	1977			0	4|2|3|7|11|12|11|6|8|5|10|9|9|13|15
nichobi01	nichobi01h	0	0	1	1960			0	0
singlke01	singlke01h	0	0	1	1990			0	0
decindo01	decindo01h	0	0	1	1993			0	0
chapmbe01	chapmbe01h	0	1	2	1949			0	1|0
vanslan01	vanslan01h	0	0	1	2001			0	0
belanma01	belanma01h	0	4	1	1988			0	4
bresnro01	bresnro01h	0	54	6	1936			0	21|21|26|24|24|54
galanau01	galanau01h	0	1	2	1968			0	1|1
vanhage01	vanhage01h	0	1	1	1936			0	1
porteda02	porteda02h	0	0	1	1993			0	0
mcdougi01	mcdougi01h	0	2	9	1966			0	2|1|1|1|0|1|1|1|1
rizzuph01	rizzuph01h	1	38	15	1956	1994	Veterans	0	1|28|22|18|24|26|23|26|26|26|29|30|32|38
salmoti01	salmoti01h	0	1	1	2012			0	1
richaha01	richaha01h	0	1	1	1936			0	1
justida01	justida01h	0	0	1	2008			0	0
sundbji01	sundbji01h	0	0	1	1995			0	0
hermaba01	hermaba01h	0	6	12	1942			0	0|2|3|1|0|1|1|0|2|6|5|3
lansfca01	lansfca01h	0	1	1	1998			0	1
bartedi01	bartedi01h	0	1	4	1948			0	1|0|0|0
milancl01	milancl01h	0	2	7	1938			0	0|1|0|0|0|1|2
belleal01	belleal01h	0	8	2	2006			0	8|3
parkeda01	parkeda01h	0	25	15	1997			0	18|25|16|21|16|14|10|10|13|15|11|15|15|15|15
conceda01	conceda01h	0	17	15	1994			0	7|9|13|13|17|12|13|14|12|11|11|11|13|14|16
sandere02	sandere02h	0	0	1	2013			0	0
willsma01	willsma01h	0	41	15	1978			0	30|38|38|41|22|21|26|24|29|27|30|21|21|14|26
parrila02	parrila02h	0	2	1	2001			0	2
stanked01	stanked01h	0	1	1	1960			0	1
bushdo01	bushdo01h	0	1	6	1937			0	0|1|1|0|1|0
burnsge01	burnsge01h	0	1	5	1937			0	1|1|0|1|1
petrori01	petrori01h	0	1	1	1982			0	1
daubeja01	daubeja01h	0	1	6	1936			0	1|1|0|0|0|0
bennech01	bennech01h	0	4	1	1936			0	4
powelbo01	powelbo01h	0	1	1	1983			0	1
wilsoha01	wilsoha01h	1	38	16	1937	1979	Veterans	0	0|0|0|2|16|10|9|9|16|19|32|38|35|27|24
oneilpa01	oneilpa01h	0	2	1	2007			0	2
davisha01	davisha01h	0	1	2	1945			0	0|1
baineha01	baineha01h	0	6	5	2007			0	5|5|6|6|5
gonzaju03	gonzaju03h	0	5	2	2011			0	5|4
smithlo01	smithlo01h	0	0	1	2000			0	0
callijo01	callijo01h	0	0	1	1979			0	0
hrbekke01	hrbekke01h	0	1	1	2000			0	1
wallati01	wallati01h	0	0	1	2002			0	0
gibsoki01	gibsoki01h	0	3	1	2001			0	3
marisro01	marisro01h	0	43	15	1974			0	21|19|22|21|22|29|29|23|17|18|27|32|42|43|43
turnete01	turnete01h	0	1	1	1947			0	1
davisch01	davisch01h	0	1	1	2005			0	1
lankfra01	lankfra01h	0	0	1	2010			0	0
madlobi01	madlobi01h	0	4	1	1993			0	4
blairpa01	blairpa01h	0	2	1	1986			0	2
garvest01	garvest01h	0	43	15	1993			0	42|36|43|37|35|41|30|32|34|28|28|24|21|26|21
howarfr01	howarfr01h	0	1	1	1979			0	1
kellge01	kellge01h	1	37	14	1964	1983	Veterans	0	16|10|14|17|18|30|29|29|30|26|31|33|37
mcauldi01	mcauldi01h	0	0	1	1981			0	0
bishoma01	bishoma01h	0	2	4	1955			0	0|1|2|2
bradlbi01	bradlbi01h	0	2	6	1936			0	0|2|1|0|0|0
willicy01	willicy01h	0	6	13	1938			0	0|0|1|1|5|3|2|2|2|1|6|2|4
longhe01	longhe01h	0	19	6	1936			0	19|0|0|0|0|0
dunlafr01	dunlafr01h	0	3	1	1936			0	3
bellja01	bellja01h	0	0	1	2009			0	0
bakerdu01	bakerdu01h	0	1	1	1992			0	1
pafkoan01	pafkoan01h	0	1	2	1966			0	1|0
groatdi01	groatdi01h	0	2	6	1973			0	2|1|1|2|1|1
bluelu01	bluelu01h	0	0	1	1954			0	0
maddoga01	maddoga01h	0	0	1	1992			0	0
scottge02	scottge02h	0	0	2	1985			0	0|0
moneydo01	moneydo01h	0	0	1	1989			0	0
traynpi01	traynpi01h	1	77	8	1936	1948	BBWAA	0	7|1|4|19|33|32|74|77
mazerbi01	mazerbi01h	1	42	16	1978	2001	Veterans	0	6|8|9|9|7|13|18|22|24|30|33|30|30|32|42
willine01	willine01h	0	3	1	1936			0	3
daviser01	daviser01h	0	1	1	2007			0	1
murphda02	murphda02h	0	0	2	1937			0	0|0
coopece01	coopece01h	0	0	1	1993			0	0
henrito01	henrito01h	0	21	10	1952			0	2|4|1|4|4|2|6|8|15|21
joynewa01	joynewa01h	0	0	1	2007			0	0
wardjo01	wardjo01h	1	4	2	1936	1964	Veterans	0	4
dykesji01	dykesji01h	0	10	11	1948			0	4|5|1|1|2|2|0|1|10|10|4
huggimi01	huggimi01h	0	64	1	1946			0	64
bottoji01	bottoji01h	1	33	13	1948	1974	Veterans	0	3|5|5|3|3|4|6|10|22|21|33|13
cuccito01	cuccito01h	0	1	2	1956			0	1|1
kammwi01	kammwi01h	0	1	2	1958			0	1|0
fairlro01	fairlro01h	0	1	2	1984			0	0|1
