ripkeca01	BBWAA	1	0	99	1	1240	2007	2007	99
cobbty01	BBWAA	1	0	98	1	1230	1936	1936	98
aaronha01	BBWAA	1	0	98	1	1230	1982	1982	98
brettge01	BBWAA	1	0	98	1	1230	1999	1999	98
gwynnto01	BBWAA	1	0	98	1	1230	2007	2007	98
schmimi01	BBWAA	1	0	97	1	1220	1995	1995	97
benchjo01	BBWAA	1	0	96	1	1210	1989	1989	96
mayswi01	BBWAA	1	0	95	1	1200	1979	1979	95
ruthba01	BBWAA	1	0	95	1	1200	1936	1936	95
henderi01	BBWAA	1	0	95	1	1200	2009	2009	95
wagneho01	BBWAA	1	0	95	1	1200	1936	1936	95
yastrca01	BBWAA	1	0	95	1	1200	1989	1989	95
jacksre01	BBWAA	1	0	94	1	1190	1993	1993	94
musiast01	BBWAA	1	0	93	1	1180	1969	1969	93
willite01	BBWAA	1	0	93	1	1180	1966	1966	93
boggswa01	BBWAA	1	0	92	1	1170	2005	2005	92
robinbr01	BBWAA	1	0	92	1	1170	1983	1983	92
smithoz01	BBWAA	1	0	92	1	1170	2002	2002	92
carewro01	BBWAA	1	0	91	1	1160	1991	1991	91
robinfr02	BBWAA	1	0	89	1	1140	1982	1982	89
kalinal01	BBWAA	1	0	88	1	1130	1980	1980	88
mantlmi01	BBWAA	1	0	88	1	1130	1974	1974	88
molitpa01	BBWAA	1	0	85	1	1100	2004	2004	85
murraed02	BBWAA	1	0	85	1	1100	2003	2003	85
bankser01	BBWAA	1	0	84	1	1090	1977	1977	84
thomafr04	BBWAA	1	0	84	1	1090	2014	2014	84
winfida01	BBWAA	1	0	84	1	1090	2001	2001	84
morgajo02	BBWAA	1	0	82	1	1070	1990	1990	82
puckeki01	BBWAA	1	0	82	1	1070	2001	2001	82
stargwi01	BBWAA	1	0	82	1	1070	1988	1988	82
mccovwi01	BBWAA	1	0	81	1	1060	1986	1986	81
brocklo01	BBWAA	1	0	80	1	1050	1985	1985	80
clemero01	Special	1	0	\N	0	1050	1973	1973	
gehrilo01	Special	1	0	23	1	1050	1936	1939	23
robinja02	BBWAA	1	0	78	1	1030	1962	1962	78
yountro01	BBWAA	1	0	77	1	1020	1999	1999	77
fiskca01	BBWAA	1	0	80	2	950	1999	2000	66|80
alomaro01	BBWAA	1	0	90	2	950	2010	2011	74|90
berrayo01	BBWAA	1	0	86	2	950	1971	1972	67|86
lajoina01	BBWAA	1	0	84	2	950	1936	1937	65|84
speaktr01	BBWAA	1	0	82	2	950	1936	1937	59|82
ottme01	BBWAA	1	0	87	3	900	1949	1951	61|68|87
larkiba01	BBWAA	1	0	86	3	900	2010	2012	52|62|86
sandbry01	BBWAA	1	0	76	3	900	2003	2005	49|61|76
collied01	BBWAA	1	0	78	4	850	1936	1939	27|57|67|78
dimagjo01	BBWAA	1	0	89	4	850	1945	1955	0|44|69|89
keelewi01	BBWAA	1	0	76	4	850	1936	1939	18|57|68|76
killeha01	BBWAA	1	0	83	4	850	1981	1984	60|59|72|83
sislege01	BBWAA	1	0	86	4	850	1936	1939	34|53|68|86
camparo01	BBWAA	1	0	79	5	800	1964	1969	57|65|70|72|79
cochrmi01	BBWAA	1	0	80	5	800	1936	1947	35|10|38|51|80
friscfr01	BBWAA	1	0	84	5	800	1936	1947	6|9|36|41|84
hornsro01	BBWAA	1	0	78	5	800	1936	1942	46|26|18|64|78
matheed01	BBWAA	1	0	79	5	800	1974	1978	32|41|49|62|79
wanerpa01	BBWAA	1	0	83	5	800	1946	1952	42|48|57|72|83
foxxji01	BBWAA	1	0	79	6	750	1936	1951	9|6|41|56|61|79
aparilu01	BBWAA	1	0	85	6	750	1979	1984	28|32|37|42|67|85
cartega01	BBWAA	1	0	78	6	750	1998	2003	42|34|50|65|73|78
willibi01	BBWAA	1	0	86	6	750	1982	1987	23|41|50|64|74|86
traynpi01	BBWAA	1	0	77	7	700	1936	1948	7|1|4|19|33|74|77
dickebi01	BBWAA	1	0	80	8	650	1945	1954	7|32|42|46|52|59|68|80
simmoal01	BBWAA	1	0	75	8	650	1936	1953	2|4|50|58|54|51|60|75
dawsoan01	BBWAA	1	0	78	9	600	2002	2010	45|50|50|52|61|57|66|67|78
greenha01	BBWAA	1	0	85	9	600	1945	1956	1|44|38|30|32|30|38|63|85
medwijo01	BBWAA	1	0	85	9	600	1948	1968	1|16|19|14|21|54|62|73|85
perezto01	BBWAA	1	0	77	9	600	1992	2000	50|55|58|56|66|66|68|61|77
boudrlo01	BBWAA	1	0	77	10	550	1956	1970	1|24|13|8|34|38|49|52|64|77
cronijo01	BBWAA	1	0	79	10	550	1947	1956	4|21|22|20|19|21|26|34|54|79
hartnga01	BBWAA	1	0	78	11	500	1936	1955	0|1|1|27|23|32|25|33|39|60|78
heilmha01	BBWAA	1	0	87	11	500	1937	1952	5|5|3|2|2|40|33|39|52|68|87
snidedu01	BBWAA	1	0	86	11	500	1970	1980	17|25|21|27|30|36|41|55|67|71|86
kinerra01	BBWAA	1	0	75	13	400	1960	1975	1|3|15|25|42|42|40|56|59|59|62|59|75
maranra01	BBWAA	1	0	83	13	400	1937	1954	12|28|30|28|21|57|31|38|39|49|57|62|83
terrybi01	BBWAA	1	0	77	13	400	1936	1954	4|3|6|15|13|29|43|53|63|65|66|72|77
foxne01	vc	1	0	75	15	300	1971	1997	11|16|19|22|21|45|40|39|40|42|42|31|46|61|75
riceji01	BBWAA	1	0	76	15	300	1995	2009	30|35|38|43|29|52|58|55|52|55|59|65|63|72|76
ansonca01	ot	1	0	\N	0	300	1936	1939	
biggicr01		0	1	75	2	300	2013		68|75
bresnro01	ot	1	0	54	6	300	1936	1945	21|21|26|24|24|54
broutda01	ot	1	0	\N	0	300	1936	1945	
burkeje01	ot	1	0	2	4	300	1936	1946	0|1|2|1
chancfr01	ot	1	0	72	6	300	1936	1946	2|24|51|58|58|72
clarkfr01	ot	1	0	25	6	300	1936	1945	0|11|24|22|25|21
colliji01	ot	1	0	49	6	300	1936	1945	26|33|30|26|29|49
delahed01	ot	1	0	53	6	300	1936	1945	8|35|50|53|45|45
duffyhu01	ot	1	0	33	5	300	1936	1945	3|9|12|33|26
eversjo01	ot	1	0	54	6	300	1936	1946	3|22|35|39|39|54
ewingbu01	ot	1	0	1	1	300	1936	1939	1
jennihu01	ot	1	0	37	5	300	1936	1945	2|9|12|27|37
kellyki01	ot	1	0	\N	0	300	1936	1945	
mccarto01	ot	1	0	\N	0	300	1936	1946	
orourji01	ot	1	0	\N	0	300	1945	1945	
tinkejo01	ot	1	0	20	5	300	1937	1946	7|6|4|15|20
cepedor01	vc	1	0	73	15	296	1980	1999	12|19|10|16|31|29|36|43|47|39|48|43|57|60|73
slaugen01	vc	1	0	69	14	288	1966	1985	33|42|46|38|44|46|38|38|40|49|51|58|69|69
roushed01	vc	1	0	54	18	258	1936	1962	1|5|3|3|0|2|16|14|9|10|9|10|12|21|39|47|42|54
ricesa01	vc	1	0	53	13	256	1938	1963	0|1|2|1|0|0|1|4|11|23|34|53|51
careyma01	vc	1	0	51	14	252	1937	1961	3|2|3|0|7|8|8|12|15|21|22|47|34|51
piazzmi01		0	1	62	2	248	2013		58|62
reesepe01	vc	1	0	48	14	246	1964	1984	36|31|30|29|26|32|35|33|33|39|43|48|43|45
bagweje01		0	1	60	4	240	2011		42|56|60|54
schalra01	vc	1	0	45	15	240	1936	1955	2|12|17|13|23|13|31|18|16|10|16|19|20|21|45
mizejo01	vc	1	0	44	11	238	1960	1981	17|9|27|27|30|36|34|42|44|40|41
santoro01	vc	1	0	43	15	236	1980	2012	4|13|15|19|25|17|22|26|32|37|33|30|37|39|43
schoere01	vc	1	0	43	15	236	1969	1989	19|32|34|26|25|30|26|33|27|34|37|43|41|33|39
ashburi01	vc	1	0	42	15	234	1968	1995	2|3|4|3|3|7|15|21|22|36|42|30|35|35|30
mazerbi01	vc	1	0	42	15	234	1978	2001	6|8|9|9|7|13|18|22|24|30|33|30|30|32|42
rizzuph01	vc	1	0	38	14	226	1956	1994	1|28|22|18|24|26|23|26|26|26|29|30|32|38
wilsoha01	vc	1	0	38	15	226	1937	1979	0|0|0|2|16|10|9|9|16|19|32|38|35|27|24
kellge01	vc	1	0	37	13	224	1964	1983	16|10|14|17|18|30|29|29|30|26|31|33|37
cuyleki01	vc	1	0	34	12	218	1948	1968	2|3|7|4|4|7|8|14|28|34|27|19
bottoji01	vc	1	0	33	12	216	1948	1974	3|5|5|3|3|4|6|10|22|21|33|13
lazzeto01	vc	1	0	33	14	216	1945	1991	0|1|17|13|13|12|12|11|12|26|33|30|22|5
bakerfr01	vc	1	0	30	10	210	1936	1955	0|6|12|11|17|11|30|3|2|4
gordojo01	vc	1	0	29	12	208	1945	2009	0|0|2|4|4|3|15|10|23|27|29|26
raineti01		0	1	52	7	208	2008		24|23|30|38|49|52|46
vaughar01	vc	1	0	29	11	208	1953	1985	0|1|2|5|2|4|4|8|12|16|29
kleinch01	vc	1	0	28	12	206	1948	1980	2|6|8|7|8|4|10|23|14|14|11|28
doerrbo01	vc	1	0	25	12	200	1953	1986	1|3|9|6|6|12|10|12|17|18|25|22
wanerll01	vc	1	0	23	9	196	1949	1967	2|1|0|1|9|15|8|3|23
wheatza01	vc	1	0	23	15	196	1937	1959	2|3|1|1|1|23|12|10|10|8|13|12|13|20|13
youngro01	vc	1	0	22	16	194	1936	1972	4|8|15|12|19|9|22|16|13|10|15|15|12|13|19|10
hermabi01	vc	1	0	20	7	190	1948	1975	1|1|3|3|13|9|20
bancrda01	vc	1	0	16	14	182	1937	1971	1|1|0|3|3|5|4|5|4|4|8|8|16|11
combsea01	vc	1	0	16	14	182	1937	1970	2|3|1|0|5|4|2|0|1|0|7|13|16|4
lombaer01	vc	1	0	16	9	182	1950	1986	2|1|4|2|2|3|16|11|15
gosligo01	vc	1	0	13	9	176	1948	1968	1|3|1|0|3|13|10|11|9
hafeych01	vc	1	0	11	12	172	1948	1971	1|1|2|0|0|1|1|2|8|5|11|4
manushe01	vc	1	0	9	6	168	1948	1964	1|1|7|8|7|9
seweljo01	vc	1	0	9	7	168	1937	1977	0|1|0|0|2|0|9
jackstr01	vc	1	0	7	12	164	1948	1982	4|4|4|2|0|1|0|2|7|4|4|1
averiea01	vc	1	0	5	7	160	1949	1975	1|1|1|2|5|4|2
crawfsa01	vc	1	0	4	6	158	1936	1957	0|2|4|2|1|2
lindsfr01	vc	1	0	4	5	158	1949	1976	1|2|2|2|4
dobyla01	vc	1	0	3	2	156	1966	1998	2|3
hoopeha01	vc	1	0	3	6	156	1937	1971	3|2|2|2|1|1
wallabo01	vc	1	0	3	5	156	1936	1953	0|3|2|1|1
kellyge01	vc	1	0	2	7	154	1947	1973	1|2|1|1|1|2|1
ferreri01	vc	1	0	1	3	152	1956	1984	1|0|0
wardjo01	vc	1	0	\N	0	150	1936	1964	
applilu01	ro	1	0	71	7	150	1953	1964	1|1|7|29|27|30|71
becklja01	vc	1	0	0	1	150	1936	1971	0
connoro01	vc	1	0	\N	0	150	1976	1976	
davisge01	vc	1	0	\N	0	150	1998	1998	
flickel01	vc	1	0	0	1	150	1938	1963	0
gehrich01	ro	1	0	67	5	150	1936	1949	0|4|65|43|67
hamilbi01	vc	1	0	0	1	150	1936	1961	0
irvinmo01	nl	1	0	\N	0	150	1973	1973	
kellejo01	vc	1	0	0	2	150	1939	1971	0|0
mcphebi01	vc	1	0	\N	0	150	2000	2000	
thompsa01	vc	1	0	\N	0	150	1974	1974	
whitede01	vc	1	0	\N	0	150	1936	2013	
trammal01		0	1	37	13	148	2002		16|14|14|17|18|13|18|17|22|24|37|34|21
bondsba01		0	1	36	2	144	2013		36|35
martied01		0	1	36	5	144	2010		36|33|36|36|25
mattido01		0	1	28	14	112	2001		28|20|14|13|11|12|10|16|12|16|14|18|13|8
mcgrifr01		0	1	24	5	96	2010		22|18|24|21|12
mcgwima01		0	1	24	8	96	2007		23|24|22|24|20|20|17|11
walkela01		0	1	23	4	92	2011		20|23|22|10
hodgegi01		0	0	63	15	63	1969		24|48|50|41|57|54|52|60|58|60|56|60|60|49|63
olivato01		0	0	47	15	47	1982		15|20|31|29|36|39|47|30|32|36|41|37|35|32|36
garvest01		0	0	43	15	43	1993		42|36|43|37|35|41|30|32|34|28|28|24|21|26|21
marisro01		0	0	43	15	43	1974		21|19|22|21|22|29|29|23|17|18|27|32|42|43|43
willsma01		0	0	41	15	41	1978		30|38|38|41|22|21|26|24|29|27|30|21|21|14|26
marioma01		0	0	40	12	40	1956		1|14|10|25|28|31|31|33|40|34|30|33
kuennha01		0	0	39	15	39	1977		15|15|15|22|23|15|21|26|32|34|35|39|26|24|23
lopezal01		0	0	39	3	39	1949		1|28|39
cavarph01		0	0	36	12	36	1962		1|11|3|5|8|11|17|23|15|19|17|36
gowdyha01		0	0	36	17	36	1937		1|3|1|3|1|1|2|7|4|12|15|22|20|36|25|17|14
boyerke01		0	0	26	15	26	1975		2|4|4|5|5|17|22|23|26|14|18|13|17|16|12
parkeda01		0	0	25	15	25	1997		18|25|16|21|16|14|10|10|13|15|11|15|15|15|15
vernomi01		0	0	25	15	25	1966		7|5|8|6|3|3|3|6|7|6|13|14|17|20|25
murphda05		0	0	23	15	23	1999		19|23|18|15|12|8|10|11|9|14|12|12|13|14|19
torrejo01		0	0	22	15	22	1983		5|11|11|14|11|14|9|12|9|14|15|12|11|11|22
henrito01		0	0	21	10	21	1952		2|4|1|4|4|2|6|8|15|21
howarel01		0	0	21	15	21	1974		5|6|14|11|11|7|8|21|10|9|11|14|12|11|12
minosmi01		0	0	21	15	21	1969		2|21|20|21|13|11|9|16|16|10|14|13|18|16|15
darkal01		0	0	19	15	19	1966		6|13|13|14|18|15|14|14|15|13|16|17|16|19|11
allendi01		0	0	19	14	19	1983		4|7|10|13|12|8|13|13|16|17|14|16|19|17
conceda01		0	0	17	15	17	1994		7|9|13|13|17|12|13|14|12|11|11|11|13|14|16
martipe01		0	0	17	13	17	1942		1|0|6|10|4|8|13|16|4|17|11|4|9
odoulle01		0	0	17	10	17	1948		3|3|5|6|8|4|3|10|17|8
pinsova01		0	0	16	15	16	1981		4|1|3|5|10|12|16|7|8|7|8|9|10|7|11
kentje01		0	1	15	1	15	2014		15
floodcu01		0	0	15	15	15	1977		4|2|3|7|11|12|11|6|8|5|10|9|9|13|15
munsoth01		0	0	15	15	15	1981		15|6|5|7|8|8|7|7|7|7|6|7|9|7|7
coopewa01		0	0	14	10	14	1968		3|1|3|2|2|2|2|4|14|12
kluszte01		0	0	14	15	14	1967		3|5|3|3|3|3|4|8|9|13|14|13|13|13|14
lewisdu01		0	0	14	9	14	1937		1|2|2|0|1|5|8|8|14
palmera01		0	0	13	4	13	2011		11|13|9|4
sosasa01		0	1	12	2	12	2013		12|7
moorete01		0	0	12	8	12	1950		1|0|5|3|1|7|1|12
bondsbo01		0	0	11	11	11	1987		6|6|6|7|9|9|11|8|8|5|4
dimagdo01		0	0	11	9	11	1960		1|1|6|3|4|5|4|9|11
hernake01		0	0	11	9	11	1996		5|10|11|7|10|8|6|6|4
rosepe01		0	0	10	3	10	1992		10|3|4
dykesji01		0	0	10	11	10	1948		4|5|1|1|2|2|0|1|10|10|4
evansdw01		0	0	10	3	10	1997		6|10|4
grimmch01		0	0	10	11	10	1939		0|0|5|7|8|4|3|3|10|5|1
klingjo01		0	0	10	8	10	1936		4|10|10|5|6|5|2|0
willibe02		0	0	10	2	10	2012		10|3
chaseha01		0	0	9	2	9	1936		5|9
wilsoji01		0	0	9	12	9	1948		7|4|2|1|3|4|3|5|9|1|2|3
ruelmu01		0	0	8	9	8	1946		2|0|0|3|2|4|8|4|3
bauerha01		0	0	8	1	8	1967		8
belleal01		0	0	8	2	8	2006		8|3
boonebo01		0	0	8	5	8	1996		8|6|5|5|4
crigelo01		0	0	8	4	8	1936		3|8|4|1
nettlgr01		0	0	8	4	8	1994		8|6|8|5
staubru01		0	0	8	7	8	1991		6|6|8|8|5|5|4
durocle01		0	0	7	2	7	1949		1|7
fostege01		0	0	7	4	7	1992		6|7|4|4
harribu01		0	0	7	1	7	1949		7
southbi01		0	0	7	7	7	1945		0|5|1|2|0|1|7
wrighgl01		0	0	7	12	7	1948		2|1|1|0|0|1|0|2|2|3|7|1
lynnfr01		0	0	6	2	6	1996		6|5
baineha01		0	0	6	5	6	2007		5|5|6|6|5
cramedo01		0	0	6	5	6	1956		2|1|0|1|6
hermaba01		0	0	6	12	6	1942		0|2|3|1|0|1|1|0|2|6|5|3
judgejo01		0	0	6	7	6	1937		0|1|1|1|1|3|6
kellech01		0	0	6	11	6	1953		0|1|3|3|1|6|4|4|2|4|6
willicy01		0	0	6	13	6	1938		0|0|1|1|5|3|2|2|2|1|6|2|4
hackst01		0	0	5	7	5	1948		2|3|5|1|1|2|2
yorkru01		0	0	5	2	5	1962		1|5
crosefr01		0	0	5	6	5	1950		1|0|1|2|3|5
gonzaju03		0	0	5	2	5	2011		5|4
griffke01		0	0	5	1	5	1997		5
mcgeewi01		0	0	5	2	5	2005		5|2
mcinnst01		0	0	5	7	5	1937		0|2|1|4|5|1|1
meusebo01		0	0	5	11	5	1937		0|0|0|5|2|1|0|1|1|2|4
oneilst01		0	0	5	7	5	1948		2|4|1|1|4|5|4
rolfere01		0	0	5	8	5	1950		4|3|2|2|2|5|4|1
thomsbo01		0	0	5	14	5	1966		4|3|5|2|1|1|3|1|2|3|2|3|1|3
motama01		0	0	4	2	4	1988		4|2
belanma01		0	0	4	1	4	1988		4
cartejo01		0	0	4	1	4	2004		4
clarkwi02		0	0	4	1	4	2006		4
crandde01		0	0	4	4	4	1976		4|2|2|2
galaran01		0	0	4	1	4	2010		4
gracema01		0	0	4	1	4	2009		4
madlobi01		0	0	4	1	4	1993		4
mccarti01		0	0	4	1	4	1986		4
oliveal01		0	0	4	1	4	1991		4
schanwa01		0	0	4	5	4	1948		1|1|1|3|4
simmote01		0	0	4	1	4	1994		4
whitefr01		0	0	4	1	4	1996		4
alomasa02		0	0	3	1	3	2013		3
archeji01		0	0	3	3	3	1937		3|3|1
baylodo01		0	0	3	2	3	1994		3|3
campabe01		0	0	3	1	3	1989		3
donlimi01		0	0	3	4	3	1937		3|2|2|0
duganjo01		0	0	3	7	3	1937		0|0|2|1|1|2|3
gibsoki01		0	0	3	1	3	2001		3
grichbo01		0	0	3	1	3	1992		3
loftoke01		0	0	3	1	3	2013		3
mccorfr01		0	0	3	4	3	1956		2|1|3|1
reisepe01		0	0	3	2	3	1958		2|3
scottev01		0	0	3	14	3	1937		1|1|0|0|1|2|2|2|1|2|2|2|3|1
tebbebi01		0	0	3	2	3	1958		3|0
tennefr02		0	0	3	4	3	1936		2|3|1|0
walkedi02		0	0	3	4	3	1962		1|3|2|3
whitalo01		0	0	3	1	3	2001		3
ceyro01		0	0	2	1	2	1993		2
bellbu01		0	0	2	1	2	1995		2
bowala01		0	0	2	1	2	1991		2
cashno01		0	0	2	1	2	1980		2
grohhe01		0	0	2	8	2	1937		0|1|0|1|1|0|2|0
bishoma01		0	0	2	4	2	1955		0|1|2|2
blairpa01		0	0	2	1	2	1986		2
bluegos01		0	0	2	6	2	1948		2|1|0|1|1|1
bradlbi01		0	0	2	5	2	1936		0|2|1|0|0
bucknbi01		0	0	2	1	2	1996		2
camildo01		0	0	2	4	2	1948		1|1|2|1
carribi02		0	0	2	4	2	1937		2|2|1|1
doylela01		0	0	2	3	2	1937		1|2|0
