black                      	000000	  0   0   0
gray0                      	000000	  0   0   0
grey0                      	000000	  0   0   0
NavyBlue                   	000080	  0   0 128
navy                       	000080	  0   0 128
navy blue                  	000080	  0   0 128
DarkBlue                   	00008b	  0   0 139
blue4                      	00008b	  0   0 139
dark blue                  	00008b	  0   0 139
MediumBlue                 	0000cd	  0   0 205
blue3                      	0000cd	  0   0 205
medium blue                	0000cd	  0   0 205
blue2                      	0000ee	  0   0 238
blue                       	0000ff	  0   0 255
blue1                      	0000ff	  0   0 255
DarkGreen                  	006400	  0 100   0
dark green                 	006400	  0 100   0
DeepSkyBlue4               	00688b	  0 104 139
turquoise4                 	00868b	  0 134 139
green4                     	008b00	  0 139   0
SpringGreen4               	008b45	  0 139  69
DarkCyan                   	008b8b	  0 139 139
cyan4                      	008b8b	  0 139 139
dark cyan                  	008b8b	  0 139 139
DeepSkyBlue3               	009acd	  0 154 205
DeepSkyBlue2               	00b2ee	  0 178 238
DeepSkyBlue                	00bfff	  0 191 255
DeepSkyBlue1               	00bfff	  0 191 255
deep sky blue              	00bfff	  0 191 255
turquoise3                 	00c5cd	  0 197 205
green3                     	00cd00	  0 205   0
SpringGreen3               	00cd66	  0 205 102
cyan3                      	00cdcd	  0 205 205
DarkTurquoise              	00ced1	  0 206 209
dark turquoise             	00ced1	  0 206 209
turquoise2                 	00e5ee	  0 229 238
green2                     	00ee00	  0 238   0
SpringGreen2               	00ee76	  0 238 118
cyan2                      	00eeee	  0 238 238
turquoise1                 	00f5ff	  0 245 255
MediumSpringGreen          	00fa9a	  0 250 154
medium spring green        	00fa9a	  0 250 154
green                      	00ff00	  0 255   0
green1                     	00ff00	  0 255   0
SpringGreen                	00ff7f	  0 255 127
SpringGreen1               	00ff7f	  0 255 127
spring green               	00ff7f	  0 255 127
cyan                       	00ffff	  0 255 255
cyan1                      	00ffff	  0 255 255
gray1                      	030303	  3   3   3
grey1                      	030303	  3   3   3
gray2                      	050505	  5   5   5
grey2                      	050505	  5   5   5
gray3                      	080808	  8   8   8
grey3                      	080808	  8   8   8
gray4                      	0a0a0a	 10  10  10
grey4                      	0a0a0a	 10  10  10
gray5                      	0d0d0d	 13  13  13
grey5                      	0d0d0d	 13  13  13
gray6                      	0f0f0f	 15  15  15
grey6                      	0f0f0f	 15  15  15
DodgerBlue4                	104e8b	 16  78 139
gray7                      	121212	 18  18  18
grey7                      	121212	 18  18  18
gray8                      	141414	 20  20  20
grey8                      	141414	 20  20  20
gray9                      	171717	 23  23  23
grey9                      	171717	 23  23  23
DodgerBlue3                	1874cd	 24 116 205
MidnightBlue               	191970	 25  25 112
midnight blue              	191970	 25  25 112
gray10                     	1a1a1a	 26  26  26
grey10                     	1a1a1a	 26  26  26
gray11                     	1c1c1c	 28  28  28
grey11                     	1c1c1c	 28  28  28
DodgerBlue2                	1c86ee	 28 134 238
DodgerBlue                 	1e90ff	 30 144 255
DodgerBlue1                	1e90ff	 30 144 255
dodger blue                	1e90ff	 30 144 255
gray12                     	1f1f1f	 31  31  31
grey12                     	1f1f1f	 31  31  31
LightSeaGreen              	20b2aa	 32 178 170
light sea green            	20b2aa	 32 178 170
gray13                     	212121	 33  33  33
grey13                     	212121	 33  33  33
ForestGreen                	228b22	 34 139  34
forest green               	228b22	 34 139  34
gray14                     	242424	 36  36  36
grey14                     	242424	 36  36  36
gray15                     	262626	 38  38  38
grey15                     	262626	 38  38  38
RoyalBlue4                 	27408b	 39  64 139
gray16                     	292929	 41  41  41
grey16                     	292929	 41  41  41
gray17                     	2b2b2b	 43  43  43
grey17                     	2b2b2b	 43  43  43
gray18                     	2e2e2e	 46  46  46
grey18                     	2e2e2e	 46  46  46
SeaGreen                   	2e8b57	 46 139  87
SeaGreen4                  	2e8b57	 46 139  87
sea green                  	2e8b57	 46 139  87
DarkSlateGray              	2f4f4f	 47  79  79
DarkSlateGrey              	2f4f4f	 47  79  79
dark slate gray            	2f4f4f	 47  79  79
dark slate grey            	2f4f4f	 47  79  79
gray19                     	303030	 48  48  48
grey19                     	303030	 48  48  48
LimeGreen                  	32cd32	 50 205  50
lime green                 	32cd32	 50 205  50
gray20                     	333333	 51  51  51
grey20                     	333333	 51  51  51
gray21                     	363636	 54  54  54
grey21                     	363636	 54  54  54
SteelBlue4                 	36648b	 54 100 139
gray22                     	383838	 56  56  56
grey22                     	383838	 56  56  56
RoyalBlue3                 	3a5fcd	 58  95 205
gray23                     	3b3b3b	 59  59  59
grey23                     	3b3b3b	 59  59  59
MediumSeaGreen             	3cb371	 60 179 113
medium sea green           	3cb371	 60 179 113
gray24                     	3d3d3d	 61  61  61
grey24                     	3d3d3d	 61  61  61
gray25                     	404040	 64  64  64
grey25                     	404040	 64  64  64
turquoise                  	40e0d0	 64 224 208
RoyalBlue                  	4169e1	 65 105 225
royal blue                 	4169e1	 65 105 225
gray26                     	424242	 66  66  66
grey26                     	424242	 66  66  66
RoyalBlue2                 	436eee	 67 110 238
SeaGreen3                  	43cd80	 67 205 128
gray27                     	454545	 69  69  69
grey27                     	454545	 69  69  69
chartreuse4                	458b00	 69 139   0
aquamarine4                	458b74	 69 139 116
SteelBlue                  	4682b4	 70 130 180
steel blue                 	4682b4	 70 130 180
SlateBlue4                 	473c8b	 71  60 139
gray28                     	474747	 71  71  71
grey28                     	474747	 71  71  71
DarkSlateBlue              	483d8b	 72  61 139
dark slate blue            	483d8b	 72  61 139
RoyalBlue1                 	4876ff	 72 118 255
MediumTurquoise            	48d1cc	 72 209 204
medium turquoise           	48d1cc	 72 209 204
gray29                     	4a4a4a	 74  74  74
grey29                     	4a4a4a	 74  74  74
SkyBlue4                   	4a708b	 74 112 139
gray30                     	4d4d4d	 77  77  77
grey30                     	4d4d4d	 77  77  77
SeaGreen2                  	4eee94	 78 238 148
gray31                     	4f4f4f	 79  79  79
grey31                     	4f4f4f	 79  79  79
SteelBlue3                 	4f94cd	 79 148 205
gray32                     	525252	 82  82  82
grey32                     	525252	 82  82  82
DarkSlateGray4             	528b8b	 82 139 139
CadetBlue4                 	53868b	 83 134 139
gray33                     	545454	 84  84  84
grey33                     	545454	 84  84  84
PaleGreen4                 	548b54	 84 139  84
SeaGreen1                  	54ff9f	 84 255 159
purple4                    	551a8b	 85  26 139
DarkOliveGreen             	556b2f	 85 107  47
dark olive green           	556b2f	 85 107  47
gray34                     	575757	 87  87  87
grey34                     	575757	 87  87  87
gray35                     	595959	 89  89  89
grey35                     	595959	 89  89  89
gray36                     	5c5c5c	 92  92  92
grey36                     	5c5c5c	 92  92  92
SteelBlue2                 	5cacee	 92 172 238
MediumPurple4              	5d478b	 93  71 139
gray37                     	5e5e5e	 94  94  94
grey37                     	5e5e5e	 94  94  94
CadetBlue                  	5f9ea0	 95 158 160
cadet blue                 	5f9ea0	 95 158 160
LightSkyBlue4              	607b8b	 96 123 139
gray38                     	616161	 97  97  97
grey38                     	616161	 97  97  97
gray39                     	636363	 99  99  99
grey39                     	636363	 99  99  99
SteelBlue1                 	63b8ff	 99 184 255
CornflowerBlue             	6495ed	100 149 237
cornflower blue            	6495ed	100 149 237
gray40                     	666666	102 102 102
grey40                     	666666	102 102 102
PaleTurquoise4             	668b8b	102 139 139
chartreuse3                	66cd00	102 205   0
MediumAquamarine           	66cdaa	102 205 170
aquamarine3                	66cdaa	102 205 170
medium aquamarine          	66cdaa	102 205 170
DarkOrchid4                	68228b	104  34 139
LightBlue4                 	68838b	104 131 139
SlateBlue3                 	6959cd	105  89 205
DimGray                    	696969	105 105 105
DimGrey                    	696969	105 105 105
dim gray                   	696969	105 105 105
dim grey                   	696969	105 105 105
gray41                     	696969	105 105 105
grey41                     	696969	105 105 105
OliveDrab4                 	698b22	105 139  34
DarkSeaGreen4              	698b69	105 139 105
SlateBlue                  	6a5acd	106  90 205
slate blue                 	6a5acd	106  90 205
gray42                     	6b6b6b	107 107 107
grey42                     	6b6b6b	107 107 107
OliveDrab                  	6b8e23	107 142  35
olive drab                 	6b8e23	107 142  35
SlateGray4                 	6c7b8b	108 123 139
SkyBlue3                   	6ca6cd	108 166 205
gray43                     	6e6e6e	110 110 110
grey43                     	6e6e6e	110 110 110
LightSteelBlue4            	6e7b8b	110 123 139
DarkOliveGreen4            	6e8b3d	110 139  61
gray44                     	707070	112 112 112
grey44                     	707070	112 112 112
SlateGray                  	708090	112 128 144
SlateGrey                  	708090	112 128 144
slate gray                 	708090	112 128 144
slate grey                 	708090	112 128 144
gray45                     	737373	115 115 115
grey45                     	737373	115 115 115
gray46                     	757575	117 117 117
grey46                     	757575	117 117 117
chartreuse2                	76ee00	118 238   0
aquamarine2                	76eec6	118 238 198
LightSlateGray             	778899	119 136 153
LightSlateGrey             	778899	119 136 153
light slate gray           	778899	119 136 153
light slate grey           	778899	119 136 153
gray47                     	787878	120 120 120
grey47                     	787878	120 120 120
DarkSlateGray3             	79cdcd	121 205 205
MediumOrchid4              	7a378b	122  55 139
SlateBlue2                 	7a67ee	122 103 238
gray48                     	7a7a7a	122 122 122
grey48                     	7a7a7a	122 122 122
LightCyan4                 	7a8b8b	122 139 139
CadetBlue3                 	7ac5cd	122 197 205
MediumSlateBlue            	7b68ee	123 104 238
medium slate blue          	7b68ee	123 104 238
PaleGreen3                 	7ccd7c	124 205 124
LawnGreen                  	7cfc00	124 252   0
lawn green                 	7cfc00	124 252   0
purple3                    	7d26cd	125  38 205
gray49                     	7d7d7d	125 125 125
grey49                     	7d7d7d	125 125 125
SkyBlue2                   	7ec0ee	126 192 238
gray50                     	7f7f7f	127 127 127
grey50                     	7f7f7f	127 127 127
chartreuse                 	7fff00	127 255   0
chartreuse1                	7fff00	127 255   0
aquamarine                 	7fffd4	127 255 212
aquamarine1                	7fffd4	127 255 212
gray51                     	828282	130 130 130
grey51                     	828282	130 130 130
SlateBlue1                 	836fff	131 111 255
honeydew4                  	838b83	131 139 131
azure4                     	838b8b	131 139 139
LightSlateBlue             	8470ff	132 112 255
light slate blue           	8470ff	132 112 255
gray52                     	858585	133 133 133
grey52                     	858585	133 133 133
gray53                     	878787	135 135 135
grey53                     	878787	135 135 135
SkyBlue                    	87ceeb	135 206 235
sky blue                   	87ceeb	135 206 235
LightSkyBlue               	87cefa	135 206 250
light sky blue             	87cefa	135 206 250
SkyBlue1                   	87ceff	135 206 255
MediumPurple3              	8968cd	137 104 205
BlueViolet                 	8a2be2	138  43 226
blue violet                	8a2be2	138  43 226
gray54                     	8a8a8a	138 138 138
grey54                     	8a8a8a	138 138 138
DarkRed                    	8b0000	139   0   0
dark red                   	8b0000	139   0   0
red4                       	8b0000	139   0   0
DarkMagenta                	8b008b	139   0 139
dark magenta               	8b008b	139   0 139
magenta4                   	8b008b	139   0 139
DeepPink4                  	8b0a50	139  10  80
firebrick4                 	8b1a1a	139  26  26
maroon4                    	8b1c62	139  28  98
VioletRed4                 	8b2252	139  34  82
brown4                     	8b2323	139  35  35
OrangeRed4                 	8b2500	139  37   0
tomato4                    	8b3626	139  54  38
IndianRed4                 	8b3a3a	139  58  58
HotPink4                   	8b3a62	139  58  98
coral4                     	8b3e2f	139  62  47
DarkOrange4                	8b4500	139  69   0
SaddleBrown                	8b4513	139  69  19
chocolate4                 	8b4513	139  69  19
saddle brown               	8b4513	139  69  19
sienna4                    	8b4726	139  71  38
PaleVioletRed4             	8b475d	139  71  93
orchid4                    	8b4789	139  71 137
salmon4                    	8b4c39	139  76  57
LightSalmon4               	8b5742	139  87  66
orange4                    	8b5a00	139  90   0
tan4                       	8b5a2b	139  90  43
LightPink4                 	8b5f65	139  95 101
pink4                      	8b636c	139  99 108
DarkGoldenrod4             	8b6508	139 101   8
plum4                      	8b668b	139 102 139
goldenrod4                 	8b6914	139 105  20
RosyBrown4                 	8b6969	139 105 105
burlywood4                 	8b7355	139 115  85
gold4                      	8b7500	139 117   0
PeachPuff4                 	8b7765	139 119 101
NavajoWhite4               	8b795e	139 121  94
thistle4                   	8b7b8b	139 123 139
bisque4                    	8b7d6b	139 125 107
MistyRose4                 	8b7d7b	139 125 123
wheat4                     	8b7e66	139 126 102
LightGoldenrod4            	8b814c	139 129  76
AntiqueWhite4              	8b8378	139 131 120
LavenderBlush4             	8b8386	139 131 134
khaki4                     	8b864e	139 134  78
seashell4                  	8b8682	139 134 130
cornsilk4                  	8b8878	139 136 120
LemonChiffon4              	8b8970	139 137 112
snow4                      	8b8989	139 137 137
yellow4                    	8b8b00	139 139   0
LightYellow4               	8b8b7a	139 139 122
ivory4                     	8b8b83	139 139 131
gray55                     	8c8c8c	140 140 140
grey55                     	8c8c8c	140 140 140
LightSkyBlue3              	8db6cd	141 182 205
DarkSlateGray2             	8deeee	141 238 238
CadetBlue2                 	8ee5ee	142 229 238
gray56                     	8f8f8f	143 143 143
grey56                     	8f8f8f	143 143 143
DarkSeaGreen               	8fbc8f	143 188 143
dark sea green             	8fbc8f	143 188 143
LightGreen                 	90ee90	144 238 144
PaleGreen2                 	90ee90	144 238 144
light green                	90ee90	144 238 144
purple2                    	912cee	145  44 238
gray57                     	919191	145 145 145
grey57                     	919191	145 145 145
MediumPurple               	9370db	147 112 219
medium purple              	9370db	147 112 219
DarkViolet                 	9400d3	148   0 211
dark violet                	9400d3	148   0 211
gray58                     	949494	148 148 148
grey58                     	949494	148 148 148
gray59                     	969696	150 150 150
grey59                     	969696	150 150 150
PaleTurquoise3             	96cdcd	150 205 205
DarkSlateGray1             	97ffff	151 255 255
CadetBlue1                 	98f5ff	152 245 255
PaleGreen                  	98fb98	152 251 152
pale green                 	98fb98	152 251 152
DarkOrchid                 	9932cc	153  50 204
dark orchid                	9932cc	153  50 204
gray60                     	999999	153 153 153
grey60                     	999999	153 153 153
DarkOrchid3                	9a32cd	154  50 205
LightBlue3                 	9ac0cd	154 192 205
OliveDrab3                 	9acd32	154 205  50
YellowGreen                	9acd32	154 205  50
yellow green               	9acd32	154 205  50
PaleGreen1                 	9aff9a	154 255 154
purple1                    	9b30ff	155  48 255
DarkSeaGreen3              	9bcd9b	155 205 155
gray61                     	9c9c9c	156 156 156
grey61                     	9c9c9c	156 156 156
gray62                     	9e9e9e	158 158 158
grey62                     	9e9e9e	158 158 158
MediumPurple2              	9f79ee	159 121 238
SlateGray3                 	9fb6cd	159 182 205
purple                     	a020f0	160  32 240
